[2026-08-11T11:35:13.284Z] GET file:///Users/himanshu/Documents/CortexBI/cortexbi-site/index.html → 200 (3ms, 81734B)
[2026-08-11T11:35:13.296Z] GET https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@500;600;700&family=Inter:wght@400;450;500;600&family=JetBrains+Mono:wght@400;500&display=swap → pending (?ms, ?B)
[2026-08-11T11:35:13.574Z] GET file:///Users/himanshu/Documents/CortexBI/cortexbi-site/assets/logo.png → 200 (2ms, 252769B)
[2026-08-11T11:35:13.574Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (69ms, 48432B)
[2026-08-11T11:35:13.574Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (86ms, 22320B)
[2026-08-11T11:35:13.574Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (114ms, 31340B)
[2026-08-11T11:35:17.749Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPx7cwgknk-6nFg.woff2 → 200 (46ms, 11596B)
[2026-08-11T11:35:17.749Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7W0Q5n-wU.woff2 → 200 (38ms, 85272B)
[2026-08-11T11:35:24.124Z] GET https://demo.cortexbi.in/ → pending (?ms, ?B)
[2026-08-11T11:49:57.443Z] GET file:///Users/himanshu/Documents/CortexBI/cortexbi-site/index.html → 200 (?ms, 81960B)
[2026-08-11T11:49:57.446Z] GET https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@500;600;700&family=Inter:wght@400;450;500;600&family=JetBrains+Mono:wght@400;500&display=swap → 200 (2ms, 18985B)
[2026-08-11T11:49:57.456Z] GET file:///Users/himanshu/Documents/CortexBI/cortexbi-site/assets/logo.png → 200 (1ms, 252769B)
[2026-08-11T11:49:57.456Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (2ms, 48432B)
[2026-08-11T11:49:57.456Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (2ms, 22320B)
[2026-08-11T11:49:57.456Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (2ms, 31340B)
[2026-08-11T11:49:58.549Z] GET https://demo.cortexbi.in/ → pending (?ms, ?B)
[2026-08-11T11:50:01.673Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPx7cwgknk-6nFg.woff2 → 200 (1ms, 11596B)
[2026-08-11T11:50:01.673Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7W0Q5n-wU.woff2 → 200 (1ms, 85272B)
[2026-08-11T11:54:17.492Z] GET file:///Users/himanshu/Documents/CortexBI/cortexbi-site/index.html → 200 (1ms, 82204B)
[2026-08-11T11:54:17.497Z] GET https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@500;600;700&family=Inter:wght@400;450;500;600&family=JetBrains+Mono:wght@400;500&display=swap → 200 (1ms, 18985B)
[2026-08-11T11:54:17.503Z] GET file:///Users/himanshu/Documents/CortexBI/cortexbi-site/assets/logo.png → 200 (1ms, 252769B)
[2026-08-11T11:54:17.503Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, 48432B)
[2026-08-11T11:54:17.503Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (4ms, 22320B)
[2026-08-11T11:54:17.504Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (3ms, 31340B)
[2026-08-11T11:54:18.601Z] GET https://demo.cortexbi.in/ → pending (?ms, ?B)
[2026-08-11T11:54:21.722Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPx7cwgknk-6nFg.woff2 → 200 (?ms, 11596B)
[2026-08-11T11:54:21.722Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7W0Q5n-wU.woff2 → 200 (1ms, 85272B)
